Report generated on: 11-03-2021 14:09:38,,,,,petroleum and other liquids CO2 emissions (MMtonnes CO2),,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Faroe Islands,NA,NA,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.657764412,0.7,0.7,,0.689511212,0.707672875,0.775636426,0.69537097,0.741409,0.747048,0.843090809,0.869814783,
        Fiji,1,0.8,0.9,0.9,0.9,1,1.1,1.1,1,1.1,1.4,1.5,1.7,2.2,2.6,2.5,2.3,2.52904579,2.3,1.4,1.069934284,2.110557137,1.150712234,1.459271717,1.914142212,2.417886221,2.355120113,2.385453454,2.368067017,
        Finland,36.26338652,35.617884,34.069898,31.95631,33.550272,32.82324776,32.728642,32.131228,33.400214,33.6342,33.516366,33.571377,34.359296,34.898386,34.389674,34.233911,34.829691,35.819694,34.490539,32.691652,33.681773,33.353809,31.639949,32.882815,32.017058,32.344826,33.187526,32.585557,33.014091,32.190015
        Former Czechoslovakia,38.69614493,33.17557963,29.35108653,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
        Former Serbia and Montenegro,--,--,7.6,4.5,4.3,4,6.7,8.8,8.1,8.1,8.8,11,11,12,12,12,--,--,--,--,--,--,--,--,--,,,,--,
        Former U.S.S.R.,1222,1206,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,--,
        Former Yugoslavia,47,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,--,
        France,294.5859429,310.5862229,317.2676113,302.4818383,303.3196567,313.9147071,320.9008643,322.1672333,330.0222172,330.8065622,326.6706879,329.317993,318.1777647,323.7136489,325.4157963,323.9422294,323.7036382,318.8909333,313.4268977,296.9137816,289.8063352,291.1978513,285.5533487,275.2561486,273.8933926,272.3241267,266.2218866,270.4349693,258.0215396,258.65653
        French Guiana,0.7,0.8,0.6,0.9,0.9,1,1,1,1,1,1,1,1,1.1,1,1.1,1.1,1.043026638,1.1,0.8,1,0.825736292,0.675517533,0.74987719,0.794830238,0.81713,0.900001,0.870318457,0.870318457,
        French Polynesia,0.9,0.9,0.9,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,0.9,0.9,1,1.073299837,1,1.1,1.069934284,1.032705988,1.005109149,1.017831956,0.994421436,1.040268159,1.022256868,1.000152326,1.029653081,
        Gabon,2.4,2.3,2.4,2.3,2.4,2,2.1,2.2,2.1,2,1.8,1.8,1.7,1.8,1.8,1.8,2.1,2.214351927,2.6,2.2,2.842256,3.051117,3.072911,3.354363,3.25915,3.296102,3.30557,3.236181,2.563767,
"        Gambia, The",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.457456946,0.4,0.4,0.5,0.531155455,0.511167994,0.516049014,0.573964564,0.587984,0.592758,0.5900981,0.5941987,
        Georgia,--,--,4.3,2.5,1.1,1.2,2.1,2.2,2.3,2.5,2.2,1.7,1.6,1.6,1.7,1.9,2.1,2.137004305,2.1,2.7,2.911861776,3.072104586,3.058405971,3.136058049,3.307601814,3.731459,4.527405,4.191488,4.143585085,
        Germany,--,476.258297,478.839642,486.761351,479.066661,479.909954,488.817214,489.321331,494.571036,480.829344,488.507745,489.473686,476.026314,473.220232,473.064123,468.513834,466.440556,429.143218,444.398482,426.633362,439.057058,426.242374,427.561649,435.37811,429.042295,426.173716,420.322853,426.944723,393.286319,398.863712
"        Germany, East",31.45008229,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,
"        Germany, West",363.5551964,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,
        Ghana,3,3,3.4,3.5,3.9,4,4.1,3.8,3.8,4.5,5.3,5.2,5.5,5.9,6.5,6.5,6.7,6.675884551,7.4,7.5,9.1,9.326884494,10.32532644,10.92800641,10.91128986,11.646753,12.598988,10.817419,12.4810759,
        Gibraltar,1.7,1.7,3.1,3.2,3.2,3.2,3.2,3.2,3.7,3.2,7.3,4,4,4.1,4.3,4.4,4.5,4.589873439,4.6,4.9,14.00236938,13.93627838,14.0575872,12.9414252,12.22962503,12.527962,12.779891,14.167233,13.83733,
        Greece,50.296888,50.925064,52.159062,53.675939,54.922966,57.34558,59.492753,60.553125,62.978291,61.20932,64.275266,65.179685,65.935865,68.887067,68.223765,68.862704,72.262387,74.621112,69.999419,65.582889,61.11847,57.519885,51.762021,48.379787,48.591864,50.35556,50.918888,51.42268,51.143866,52.598681
        Greenland,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.602356258,0.6,0.6,1,0.833502219,0.656976976,0.638021562,0.568352543,0.614472,0.620367,0.610689172,0.612110294,
        Grenada,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.231333533,0.3,0.3,0.3,0.274632336,0.286340167,0.323327348,0.271059272,0.289772,0.298309,0.32244384,0.317136381,
        Guadeloupe,1.4,1.5,1.4,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2,2.1,2.2,2.443079243,2.4,2.1,2.1,2.513874844,1.890889186,1.876143704,1.820668631,2.134862,1.996945,1.88786237,1.90047837,
        Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Guatemala,3.8,3.6,4.4,4.8,5.4,6.1,6.3,7,8.5,8.7,8.6,9.5,9.3,9.4,9.8,10,10,10.41457195,9.9,11,9.6,9.865846354,10.01434026,10.06127515,10.59550985,12.133803,12.61943,13.291494,14.41823,
        Guinea,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.338244321,1.3,1.4,1.4,2.836534427,2.580964507,2.334176295,2.433724809,2.767085,3.084621,2.993960718,2.980732599,
        Guinea-Bissau,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.320253741,0.5,0.4,0.4,0.333377776,0.322217541,0.360466395,0.374162768,0.408674,0.425613,0.340882931,0.341846886,
        Guyana,0.7,0.8,0.9,1.2,1.2,1,1,1.1,1.4,1.5,1.7,1.7,1.8,1.7,1.5,1.7,1.6,1.519155927,1.5,1.6,1.6,1.841371515,2.080137006,2.028611814,2.028761361,2.099613,2.361872,2.281382873,2.321942783,
        Haiti,0.7,0.7,0.8,0.6,0.5,0.9,1.1,1.4,1.3,1.5,1.5,1.7,1.7,1.7,1.7,1.8,1.8,1.965478346,2,2.2,2.1,2.224320918,2.418779249,2.602297893,2.866673923,3.316061,3.357186,3.357510686,3.45641014,
        Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,
        Honduras,2.7,2.7,2.7,2.7,3,3.5,3.9,3.8,4.4,4.6,4.3,5,5.6,5.6,6.6,6.8,7.1,7.979675668,7.5,6.8,7.1,7.295769056,7.892653777,7.927813826,8.586795867,9.267142,8.736444,8.704850987,10.003464,
        Hong Kong,19,20,23,24,28,28,28,27,30,41,36,36,40,41,48,49,47,49.86655186,46,54,65.30636447,57.34301445,52.89850222,53.92269668,49.60206828,60.20269709,61.97337456,65.5262892,66.49730958,
        Hungary,28.323821,26.672853,27.726084,26.78387,26.461742,24.73336,23.409506,24.779064,25.21901,24.680131,23.56576252,23.15239252,23.95170176,23.427233,23.150688,27.135491,28.006211,29.32374,28.795791,27.790816,26.59424,25.93177776,23.552642,23.463555,24.863724,26.622425,26.551073,28.163345,30.109049,29.499874
