Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cote d'Ivoire,CIV,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002575625,0.026063859,0.04646663,0.03866673,0.107445294,0.290641419,0.356912348,0.308875436,0.283521096,0.281577789,0.331710337,0.44160032,0.512518981,0.565050379,0.527405724,0.654531685,1.142200782,1.204691178,1.09755688,0.969070566,0.416716952,0.242196278,0.327846299,0.463177296,0.297360103,
Cameroon,CMR,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004860828,0.006253555,0.00622411,0.006505022,0.006176331,0.079051836,0.090938877,0.169452327,2.61E-17,0.222878538,0.203467053,0.110919101,0.190409842,0.633042535,0.442075768,
"Congo, Dem. Rep.",COD,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005078974,0.010086934,0.010529014,0.010450801,0.011079968,0.01671752,0.006186613,0.00513852,0.000983083,0.000297943,5.03E-05,6.33E-05,8.98E-05,0,
"Congo, Rep.",COG,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.007698674,0.003782439,0.000914622,0.004474022,0.004102889,0.011851207,0.003159058,0.008482746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.078697519,0.134954876,0.229821731,0.272812755,0.437960935,0.696779485,1.308208416,1.197921004,1.542855496,1.402511546,1.161318842,0.681198035,0.908776717,1.315274886,1.237204849,
Colombia,COL,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.015954931,0.01799473,0.015810248,0.015292215,0.027945003,0.051243687,0.038435315,0.013288764,0.018996725,0.075864468,0.125171544,0.101314431,0.042848379,0.126371385,0.111450434,0.128779492,0.114526389,0.083774209,0.076140322,0.096546462,0.10027514,0.093421769,0.07046038,0.068820244,0.049179512,0.045161492,0.055367481,0.068003411,0.070978998,0.083978067,0.10800161,0.117497759,0.114856889,0.112466662,0.102562972,0.112438578,0.132157261,0.117735475,0.13974819,0.18099061,0.133822974,0.172522685,0.195438718,0.227249748,0.155917377,0.119484699,0.079489181,0.103101508,0.167398193,0.131373851,
Comoros,COM,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cabo Verde,CPV,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Costa Rica,CRI,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Caribbean small states,CSS,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,0.056179022,0.055175034,0.072112438,0.121168286,0.114144051,0.044482938,0.06958222,0.265185172,0.315391805,0.253364132,0.117891782,0.321580505,0.302249821,0.323176256,0.330965553,0.235686738,0.259846857,0.322304235,0.372554619,0.367423842,0.315868603,0.371828428,0.344362539,0.332589249,0.410907032,0.412480122,0.324053901,0.455178264,0.76177616,0.81250611,0.876985952,1.179467223,1.293001704,1.562941344,2.022091065,2.036641108,2.062795896,2.695349938,2.212097282,3.043430934,3.364875556,3.465033782,2.463537165,1.477927034,0.846249127,1.158145386,1.947470811,1.391196946,
Cuba,CUB,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,9.04E-05,7.31E-05,0.000138634,0.000342033,0.00059565,0.000599301,0.000179665,0.000114622,0.000724752,0.001338511,0.000794375,0.000258488,0.000510358,0.000159947,0.00036439,0.000304856,0.000755797,0.000646578,0.001274521,0.001432968,0.00143437,0.000975342,0.001202195,0.000692859,0.000561909,0.000936936,0.001930873,0.005331809,0.021169483,0.03626973,0.037428619,0.033530326,0.034815541,0.037013917,0.045566272,0.067176985,0.071288694,0.076027622,0.07932822,0.06062027,0.083162159,0.091342322,0.09312184,0.073565728,0.044212564,0.024924098,0.029156773,0.046900036,,
Curacao,CUW,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
