Report generated on: 11-03-2021 14:17:58,,,,,energy consumption per capita (MMBtu/person),,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Congo-Brazzaville,COG,8.171917783,7.272908886,6.767732444,5.932060683,5.470031987,5.436360816,5.617399894,5.324011432,4.818432741,3.916887834,4.197233397,5.007352601,4.504577644,5.004814096,5.152364612,6.748990406,7.785184987,9.256065493,10.18010014,11.95595171,15.802707,18.46059175,18.45106473,22.75734041,21.128366,20.78542153,19.36452629,17.96824193,16.66746752,
        Congo-Kinshasa,COD,3.074384222,2.75035801,2.918055146,2.699724816,2.279051139,2.413723604,2.401206941,2.10769667,1.941819509,2.060176206,1.545046683,1.477926002,1.475091477,1.488686693,1.6350843,1.718490319,1.755759598,1.751005931,1.603391921,1.517594048,1.623457718,1.699178847,1.619536342,1.892756161,2.193051674,1.637106798,1.461147485,1.536006225,1.570777594,
        Cook Islands,COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
        Costa Rica,CRI,23.82520917,24.77444926,28.50741063,30.22443762,29.85340241,29.60554882,29.17103615,31.99247017,32.08837022,36.07511929,36.66252019,36.65974242,37.54171109,37.72520652,38.33476489,39.28323331,40.42918621,42.14730574,42.13287592,40.46150123,40.61210208,40.32790158,40.23993916,40.03299244,40.38829417,41.6768038,42.62444715,43.81056757,44.35461713,
        Croatia,HRV,--,--,67.0802457,67.26600794,71.27975068,75.66737645,75.62582687,77.53188357,81.98844152,83.14517572,84.19148064,88.76147865,86.65091327,94.81904829,94.07244973,94.22010233,94.34302977,93.62236341,94.60756877,92.14172277,93.57978048,83.98326874,84.15010626,85.14549583,82.27406788,80.0118988,82.90938938,84.88241927,90.63590752,
        Cuba,CUB,46.91502879,43.34284816,38.34108068,37.28727434,37.52237931,38.07957023,39.08450527,42.81610859,40.54973067,34.9387472,33.66313959,30.89509728,31.16704774,31.55268522,31.88675461,31.34473578,30.55242706,30.88833951,35.38557374,35.68806865,40.53755381,36.38067591,39.51071845,37.8088263,38.43307159,38.46045493,29.9614763,31.91009226,33.47464518,
        Cyprus,CYP,117.5693944,115.7839513,130.2950904,127.3176214,143.5623592,138.7321023,134.6617883,135.8985344,144.5233355,152.1876368,157.7984247,156.5811492,153.4441561,163.1804482,144.7885857,157.7999443,160.6798708,161.3169318,163.0212303,153.1144942,143.6231683,139.370879,131.0600314,118.3741802,120.9610983,123.9626092,134.7316391,135.4823268,134.4055824,
        Czech Republic,CZE,--,--,--,165.7814032,159.2445036,163.329872,171.1524572,168.5993688,161.2567838,151.4544283,162.8629642,166.9260692,167.2626144,177.8055122,181.734544,179.5774582,180.0642524,177.8078959,174.784179,166.0844061,170.8292184,168.7492909,167.7874016,163.6155392,162.9898997,161.5923804,157.9857291,167.7754336,166.0642753,168.3194272
        Côte d’Ivoire,CIV,6.49711897,5.298950972,4.964418189,5.387983966,5.370972633,5.668551282,6.385042925,6.316773414,6.188691419,7.778119344,7.622514555,7.373322344,7.009431299,6.187191579,6.54175042,7.109463517,5.948089806,6.226304389,6.693147263,6.36471112,6.357008097,5.775967505,6.871170539,7.42098679,7.645422273,7.424314675,8.217008702,8.003375892,7.77621947,
        Denmark,DNK,145.6446026,158.5875047,151.8279132,158.8128974,167.6650288,168.5141563,185.9546555,175.1637921,170.4024127,166.6255351,162.041784,163.6370723,157.2155461,163.8231727,158.5243427,154.4133362,163.9201204,158.9807529,152.1226672,142.2407574,148.6242742,140.9310318,133.3806836,135.2980273,129.9887557,127.2945818,128.413537,127.9265615,125.8766484,127.6310587
