,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
51,Finland,FIN,24.50843148,24.02701841,25.123398600000005,26.00353667,25.131940220000004,27.26640999,26.870551519999996,28.82844554,30.49796922,30.2360817,31.67869949,29.249700549999996,29.52149963,28.354499820000004,31.09989929,31.52459908,31.25200081,31.80419922,34.74459839,32.61130142,33.58800125,35.26710129,38.81140137,38.52019882,41.24909973,43.229599,42.39699936,44.47650146,44.21670151
52,Fiji,FJI,53.09400578,60.066567140000004,58.58567621,59.006136909999995,63.77672905,60.06116039,59.71412872,54.96202209,49.79259898,56.05448416,52.167800899999996,42.929401399999996,51.02640152,43.34030151,37.93600082,42.42620087,40.49000168,37.0625,40.13420105,35.57360077,27.95859909,32.40520096,33.44929886,33.90060043,34.23020172,32.67449951,27.66819954,28.88929939,27.87129974
53,France,FRA,10.40801913,11.01222193,11.25820176,10.86013257,10.93448888,10.70140869,10.49495357,9.985453187000001,9.709285885,9.779014352,9.324700356000001,9.457400322,8.732500076,8.907699585,8.952500342999999,8.660400391,8.523799896,9.454999924,10.6001997,11.31659985,11.99339962,10.82960033,12.529399870000002,13.57369995,13.35340023,13.483799929999998,14.41170025,14.13860035,15.252599720000001
54,Gabon,GAB,78.28066537,75.15044417,74.78172263,73.80512252,72.89299679,71.94392004,71.48673745,69.97319613,69.66973571,71.34133842,72.78279877,72.42420197,79.81680298,83.63220215,85.77749634,85.24729919,86.16079712,87.35379791,87.29270172,87.97769928,85.83979797,79.69200134,75.46790314,82.17040253,81.28050232,81.92970276,81.00569916,90.11540222,89.88710022
55,United Kingdom,GBR,0.651133978,0.608264131,0.8407377960000001,0.7752049710000001,1.021428484,1.060229099,0.943586897,1.028479689,1.0297043240000001,0.9489176570000001,0.9617999789999999,0.852800012,0.9700000290000002,0.934899986,1.137099981,1.352100015,1.5536999699999998,1.839400053,2.788100004,3.377799988,3.6665000919999997,4.43569994,4.7691001889999995,6.01760006,7.360400200000001,8.58769989,8.680100441,9.720600128,11.04500008
56,Georgia,GEO,12.773997579999998,14.11875079,18.54205164,26.02618776,22.702287600000002,46.39465091,42.75395574,44.36379605,47.52898403,49.663087420000004,47.25310135,53.145801539999994,56.75709915,55.33100128,54.52949905,41.47890091,37.21590042,36.22259903,36.29970169,36.71849823,39.14559937,31.53470039,28.68969917,33.16360092,31.344400410000002,28.14850044,27.64529991,28.033300399999995,27.943599699999993
57,Ghana,GHA,80.62642197,82.92837888,81.00123289,81.29729113,80.55763554,79.78934678,78.82919725,78.33904479,73.57807149,72.78388842,71.61940002,69.31759644,65.67839813,64.47090149,62.376399989999996,61.42829895,58.561000820000004,54.53139877,57.344600680000006,51.90340042,51.91059875,50.1108017,46.54050064,46.20890045,47.69829941,44.04980087,46.47829819,44.86220169,41.97660065
58,Guinea,GIN,89.29714418,89.40823443,86.33088557,86.17826883,85.94983491,89.93027027,88.83626377,85.30773458,84.35999679,86.31689695,85.51589966,84.83709717,84.27380371,83.46499634,83.18630219,81.563797,81.06230164,80.36470032,80.14859772,79.25050354,75.70909882,74.748703,76.35639954,78.53289795,78.56500244,76.22979736,75.29149628,71.96269989,69.8839035
59,"Gambia, The",GMB,61.441869780000005,61.80167206000001,62.935593540000006,62.67979763,60.983526819999994,59.57769467,59.07476518,58.191814910000005,56.93436054,55.8153443,62.85850143,59.60509872,60.50109863,61.920600889999996,60.75249863,61.215900420000004,59.70980072,56.74639893,55.76570129,53.42670059,56.00009918,55.654499050000005,56.35559845,58.70130157,52.67969894,52.91149902,52.72800064,52.20619965,52.38359833
60,Guinea-Bissau,GNB,88.57960543,88.57252229,88.51385297,88.03747267,88.52340019,88.55112113,89.40361011,88.36343874,89.01921391,88.05840681,91.23770142,91.2071991,91.03679657,89.04779816,88.55290222,88.52680206,88.28710175,87.9048996,88.42030334,87.8946991,87.80709839,87.87359619,87.81300354,87.71379852,87.28099823,87.15170288,86.7390976,86.79910278,86.78929901
61,Equatorial Guinea,GNQ,84.71085961,83.95967834,84.00681275,84.45892842,83.68956438,82.48286631,76.74822553,66.02912993,68.01762394,61.81901920000001,45.84600067,46.12400055,31.30850029,29.487199779999997,7.200600147,7.104800224,6.992499827999999,8.49090004,7.191999912,9.18200016,5.719900131,5.5467000010000005,4.390500069,3.66230011,4.177400112,4.534500122,3.9321000579999996,3.5248000619999997,4.904699802
62,Greece,GRC,7.806882299,8.316861357,7.899382836,7.9946095239999995,8.037282969,8.311389769,8.209182043,7.8340383000000005,7.380368096000001,7.834060225,7.820700169,7.110599995,7.3291997910000015,7.602799892,7.848100185,8.005000114,8.507800102000001,8.052200317,8.321000098999999,9.190799712999999,11.37450027,11.37639999,14.17059994,16.61190033,16.40740013,17.47489929,16.40999985,16.38349915,17.85910034
63,Grenada,GRD,8.342131789,8.106446363,7.737627143,8.074689475,7.430736491000001,7.41831073,6.146773411,8.325807872999999,10.11058554,10.29564426,10.49580002,10.41779995,10.46020031,10.4350996,10.56379986,10.56589985,10.36270046,9.898200035,10.69400024,10.47369957,10.52750015,11.27369976,11.37759972,10.91889954,12.53909969,12.27869987,12.58959961,12.58679962,10.389599800000001
64,Guatemala,GTM,74.96532992,74.25517348,72.28554101,69.92344712,68.49048572,65.14275077,65.72537786,65.30400269,62.039695910000006,64.60552182,62.74729918999999,61.34690094,63.83909988,64.3667984,66.17400359999999,65.33719635,64.82929993,63.37060165,66.59339905,65.34909821,67.1608963,67.18150329999999,67.44180298,67.27999878,66.36340332,63.391101840000005,63.32820129,65.07099915,64.09770203
65,Guyana,GUY,42.233942299999995,33.30546197,42.46382348,44.42552202,39.70794807,38.38139979,38.60819361,36.933879299999994,34.65207317,35.74764476,29.753700259999995,30.40550041,33.73040009,34.09510039999999,35.05120087,34.12969971,36.27669907,32.62649918,32.0345993,31.08740044,30.28680038,32.5707016,28.412500380000004,26.27420044,24.017499919999995,24.94809914,21.40740013,22.18219948,16.80800056
66,Honduras,HND,70.12908225,70.20188484,67.74912406,66.72504953,63.946866719999996,62.969697890000006,62.63058615,65.38147506,62.87304503,53.76411139,55.24140167,50.40470123,49.75559998,47.93610001,46.70320129,51.60649871999999,52.474201199999996,50.855098719999994,50.2480011,51.26720047,52.104099270000006,51.91759872000001,52.27360153,51.068801879999995,53.62770081,52.67919922,52.772998810000004,46.24380112,50.06240082
67,Croatia,HRV,21.92317971,33.35454151,29.81103336,29.899990149999997,30.09833466,30.384527440000003,34.12650443,29.21115068,28.114399459999998,27.81084184,26.788099289999998,26.94549942,24.631599429999998,24.840900419999997,26.585300450000002,26.83699989,25.51729965,22.67289925,24.15629959,27.17810059,29.774599079999998,27.182199479999998,29.42639923,32.84049988,33.62009811,33.10910034,31.847400669999995,29.803600310000004,32.84730148
68,Haiti,HTI,81.1195732,81.69235366,83.42712044,84.60971336,95.03960073,81.31914933,82.18016366,80.58819682,79.30019636,77.06392289,80.84500122,80.88330078,79.08380127,79.02059937,81.11119843,81.10890198,81.37429809999999,79.26319885,79.63729858,80.334198,78.99469757,79.00910187,82.18699646,80.38690186,77.76799774,76.11669922,76.13099670000001,76.16960144,76.24299622
