,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Eswatini,SWZ,822.423,845.267,866.995,887.706,907.622,926.836,945.506,963.416,979.922,994.105,1005.43,1013.61,1019.05,1022.8,1026.29,1030.57,1036.09,1042.65,1049.95,1057.46,1064.84,1072.03,1079.29,1086.84,1095.02,1104.04,1113.99,1124.81,1136.59,1148.38
51,Ethiopia,ETH,47887.9,49610,51423.6,53295.6,55181,57047.9,58883.5,60697.4,62507.7,64343,66224.8,68159.4,70142.1,72170.6,74239.5,76346.3,78489.2,80674.3,82916.2,85233.9,87640,90139.9,92727,95385.8,98094.3,100836,103604,106400,109254,112109
52,Fiji,FJI,728.575,735.398,744.47,754.962,765.607,775.428,784.389,792.736,800.148,806.302,811.011,813.923,815.257,816.078,817.864,821.606,827.869,836.185,845.356,853.636,859.816,863.451,865.065,865.602,866.447,868.632,872.406,877.46,883.788,890.116
53,Finland,FIN,4989.442,5017.555,5045.24,5069.313,5090.935,5110.05,5126.51,5141.712,5155.035,5166.93,5177.435,5189.732,5202.022,5214.69,5230.28,5248.468,5268.939,5291.66,5316.627,5342.01,5366.333,5391.52,5417.145,5442.045,5464.07,5481.475,5497.303,5509.439,5516.123,5522.524
54,France,FRA,58212,58495.58,58780.52,59022.4,59236.05,59444.6,59649.85,59856.7,60074.65,60400.1,60816.45,61257.27,61699.1,62131.68,62592.65,63058.32,63489.3,63871.4,64221.57,64543.12,64858.78,65165.15,65479.1,65953.9,66348.59,66570.8,66745.53,66945.05,67120.85,67266.75
55,Gabon,GAB,949.493,975.785,1002.57,1029.77,1057.25,1084.95,1112.94,1141.33,1170.06,1199.06,1228.36,1258.01,1288.31,1319.95,1353.79,1390.55,1430.14,1472.56,1518.54,1568.93,1624.15,1684.63,1749.68,1817.07,1883.8,1947.69,2007.88,2064.81,2118.45,2172.09
56,"Gambia, The",GMB,955.595,992.671,1027.48,1060.86,1094.22,1128.58,1164.09,1200.52,1238.12,1277.12,1317.71,1360.07,1404.26,1449.93,1496.52,1543.74,1591.44,1639.85,1689.29,1740.28,1793.2,1848.14,1905.02,1963.71,2024.04,2085.86,2149.13,2213.9,2281.49,2349.08
57,Georgia,GEO,--,--,5303.92,5208.95,5097.13,4976.25,4846.63,4709.6,4575.4,4456.65,4362.18,4296.98,4258.57,4238.93,4225.81,4210.16,4189.72,4166.86,4142.65,4119.49,4099.1,4081.01,4064.1,4048.7,4035.31,4024.18,4015.46,4008.72,4002.21,3995.69
58,Germany,DEU,--,79890.7,80286.7,80809.67,81084.85,81238.2,81413.6,81507.67,81475.6,81417.28,81447.2,81487.5,81562.38,81567.95,81493.67,81382.7,81239.75,81058.12,80857.4,80586.45,80319.83,80288.2,80450.3,80676.08,81036.25,81808.88,82391.95,82690.85,82934.16,83111.4
59,Ghana,GHA,14773.28,15207.35,15653.38,16106.75,16561.68,17014.1,17462.5,17908.97,18357.18,18812.35,19278.85,19756.93,20246.38,20750.33,21272.35,21814.62,22379.07,22963.9,23563.85,24170.95,24779.6,25387.7,25996.45,26607.65,27224.5,27849.23,28481.95,29121.45,29771.97,30422.45
60,Greece,GRC,10215.75,10331.72,10407.05,10467.78,10518.7,10568.7,10613.92,10669.25,10727.33,10765.18,10813.35,10868.67,10905.47,10931.15,10958.82,10991.65,11024.28,11051.57,11082.08,11110.1,11121.85,11100.3,11034.65,10955.6,10883.8,10811.62,10774.05,10751.3,10730.8,10720.85
61,Grenada,GRD,96.328,96.462,97.161,98.234,99.345,100.286,101.003,101.567,102.023,102.429,102.837,103.242,103.636,104.003,104.346,104.658,104.938,105.183,105.457,105.787,106.227,106.786,107.452,108.172,108.9,109.603,110.263,110.874,111.422,111.971
62,Guatemala,GTM,9263.82,9483.27,9708.55,9938.7,10172.3,10408.5,10646.7,10887.6,11133.5,11387.2,11650.7,11924.9,12208.8,12500.5,12796.9,13096,13397,13700.3,14006.4,14316.2,14630.4,14948.8,15270.8,15595.8,15923.2,16252.4,16583.1,16915,17248.5,17582
63,Guinea,GIN,6352.28,6534.94,6716.03,6897.17,7081.12,7269.63,7463.78,7662.07,7860.77,8054.75,8240.74,8417.08,8586.08,8753.1,8925.73,9109.58,9307.42,9518.16,9738.8,9964.47,10192.2,10420.5,10652,10892.8,11151,11432.1,11738.4,12067.5,12422.6,12777.7
64,Guinea-Bissau,GNB,975.265,997.982,1020.7,1043.42,1066.13,1088.85,1111.34,1133.83,1156.32,1178.81,1201.31,1230.03,1258.76,1287.48,1316.21,1344.93,1380.46,1416,1451.53,1487.07,1522.6,1565.52,1608.44,1651.36,1694.29,1737.21,1783.36,1829.52,1875.68,1921.84
65,Guyana,GUY,743.306,744.477,748.596,754.141,758.896,761.298,760.801,757.975,753.778,749.676,746.718,745.206,744.789,745.142,745.737,746.156,746.335,746.477,746.815,747.718,749.43,752.029,755.388,759.281,763.371,767.433,771.363,775.218,778.998,782.779
66,Haiti,HTI,7037.92,7178.61,7319.49,7460.68,7602.32,7744.51,7887.31,8030.72,8174.68,8319.07,8463.8,8608.81,8754.15,8900.11,9047.08,9195.29,9344.78,9495.34,9646.57,9798.05,9949.32,10100.3,10250.9,10400.7,10549,10695.5,10840,10982.4,11122.4,11262.5
67,Honduras,HND,4955.3,5098.59,5244.68,5394.42,5548.97,5709.01,5874.81,6045.7,6220.4,6397.14,6574.51,6751.91,6929.27,7106.32,7282.95,7458.98,7634.29,7808.52,7980.96,8150.78,8317.47,8480.67,8640.69,8798.52,8955.58,9112.9,9270.79,9429.02,9587.55,9746.08
68,Hungary,HUN,,10373.47,10368.25,10355.65,10341.7,10327.03,10308.7,10287.8,10263.3,10233.55,10208.3,10184.38,10154.55,10126.35,10104.73,10084.45,10070.1,10053.2,10036.4,10020.58,9996.447,9952.096,9917.47,9889.152,9863.745,9839.895,9809.904,9785.567,9774.862,9770.737
69,Iceland,ISL,255.044,257.616,260.155,262.65,265.14,267.627,270.144,272.709,275.294,277.868,280.439,282.91,285.329,287.955,291.102,294.976,299.727,305.181,310.855,316.057,320.342,323.471,325.642,327.194,328.592,330.237,332.209,334.395,336.68,338.965
70,India,IND,875527.8,893522.2,911582,929714.5,947923.8,966227.8,984674.5,1003247,1021865,1040430,1058878,1077255,1095608,1113860,1131952,1149840,1167620,1185305,1202750,1219795,1236285,1252185,1267588,1282610,1297372,1311968,1326362,1340510,1354425,1368140
71,Indonesia,IDN,181811.5,184984.8,188121.5,191222,194285.5,197307.2,200272.8,203186,206074.2,208965,211881,214810.5,217741,220685.2,223658.2,226670.2,229717.2,232791.8,235900,239046.2,242242.5,245521.5,248871.5,252235.2,255553.8,258777.5,261915,264997,268021.5,270984
72,Ireland,IRL,3515.725,3537.55,3561.165,3577.982,3592.195,3611.645,3641.872,3678.975,3717.525,3760.48,3812.075,3874.605,3940.007,4004.605,4080.615,4171.975,4290.635,4413.647,4497.485,4538.89,4562.835,4582.385,4602.095,4627.322,4662.713,4708.04,4762.595,4813.138,4876.547,4941.865
73,Israel,ISR,4448.35,4589.31,4752.83,4929.41,5105.57,5271.37,5424.24,5566.55,5699.28,5824.94,5945.95,6060.68,6169.31,6278.37,6396.51,6529.47,6680.64,6847.15,7020.83,7190.04,7346.45,7487.1,7614.95,7734.83,7854.22,7978.5,8108.98,8243.85,8381.08,8518.31
74,Italy,ITA,56725.45,56762.1,56803.12,56834.45,56843.65,56844.28,56864.3,56893.9,56907.32,56918.1,56946.75,56977.45,57076.9,57358.9,57732.68,57993.18,58163.93,58491.95,58870.2,59119.08,59299.25,59383.12,59576.1,60371.12,60790.75,60714.35,60617.98,60523.52,60406.23,59910.75
75,Jamaica,JAM,2419.9,2439.33,2461.05,2484.58,2509.04,2533.71,2558.63,2583.91,2608.87,2632.68,2654.7,2674.71,2692.84,2709.44,2725.02,2740,2754.41,2768.23,2781.87,2795.84,2810.46,2825.93,2842.13,2858.71,2875.14,2891.02,2906.24,2920.85,2934.29,2947.72
76,Japan,JPN,124494,124918.5,125318.5,125692.8,126037,126349,126629.5,126881.2,127109.5,127321,127519.7,127708.8,127886.2,128049,128192.8,128313.8,128410.5,128481.2,128525.2,128541.2,128527.5,128483.5,128407.5,128297,128150.5,127966.8,127744.8,127483.8,127182.8,126840.2
77,Jordan,JOR,3565.89,3760.49,3977.67,4201.56,4410.36,4588.84,4732.85,4848.54,4943.98,5031.75,5122.5,5217.33,5317.51,5434.04,5580.24,5765.64,5991.55,6255.29,6556.47,6893.26,7261.54,7662.86,8089.96,8518.99,8918.82,9266.57,9554.29,9785.84,9924.94,10064
78,Kazakhstan,KAZ,--,--,16302.8,16181.2,16022.2,15839.4,15631.9,15406,15190.2,15020.6,14922.7,14910.2,14976.2,15100,15250,15402.8,15551.3,15702.1,15862.1,16043,16252.3,16490.7,16751.5,17026.1,17302.6,17572,17830.9,18080,18312.2,18544.5
79,Kenya,KEN,23724.57,24521.73,25326.1,26136.23,26950.53,27768.28,28589.47,29415.65,30250.5,31098.78,31964.53,32848.58,33751.77,34678.77,35635.27,36624.92,37649.02,38705.95,39792,40901.77,42030.7,43178.25,44343.48,45519.97,46700.07,47878.32,49051.52,50221.17,51404.53,52587.9
