,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
54,France,FRA,477.49,502.29,487.54999999999995,468.76,463.02,471.75,490.46000000000004,480.53000000000003,496.58,486.18000000000006,483.28000000000003,433.85,426.2200000000001,431.31000000000006,428.7300000000001,429.4200000000001,443.96,436.77,430.57,412.26,415.98,373.01,375.9900000000001,376.7300000000001,343.69,349.62,349.4,352.07
55,Gabon,GAB,8.74,8.91,9.12,9.16,8.84,8.72,7.95,7.789999999999999,7.609999999999999,7.2299999999999995,6.79,6.769999999999999,6.629999999999999,6.860000000000002,7.41,7.530000000000001,7.21,7.370000000000002,8.290000000000001,7.050000000000001,7.940000000000002,-85.08,-85.23,-84.9,-85.57,-85.01,-84.89,-85.82
56,Gambia,GMB,3.9699999999999993,4.13,4.24,4.370000000000001,3.9099999999999997,3.440000000000001,3.3300000000000005,3.01,2.74,2.68,2.3299999999999996,2.0899999999999994,1.7500000000000007,1.56,1.46,1.33,1.4900000000000002,1.52,1.7000000000000002,2.08,2.1699999999999995,1.9299999999999917,2.029999999999995,2.1,2.2500000000000036,2.299999999999999,2.320000000000001,2.3999999999999964
57,Georgia,GEO,47.95,37.82,29.810000000000002,23.55,16.200000000000003,12.760000000000002,11.12,10.4,9.91,9.62,9.98,8.12,7.480000000000001,8.03,8.119999999999997,8.75,9.130000000000003,9.87,9.000000000000002,9.75,9.490000000000002,14.380000000000008,15.260000000000003,16.060000000000006,16.650000000000006,17.010000000000012,17.410000000000004,17.210000000000004
58,Germany,DEU,1107.24,1077.65,1029.97,1022.27,1009.3800000000001,1002.7599999999999,1030.92,992.94,966.83,932.2299999999999,922.89,970.61,952.1600000000001,951.07,931.19,906.79,917.67,888.6,891.36,834.11,864.77,812.55,826.67,843.91,803.64,807.4200000000001,810.14,792.63
59,Ghana,GHA,34.36,34.63,35.35,35.85,36.33,36.89,36.93,38.33,41.88,40.89,41.71,59.82,61.059999999999995,61.150000000000006,59.99999999999999,62.97999999999999,19.01,19.769999999999996,19.29,21.06,22.999999999999996,42.36,44.710000000000015,47.70000000000002,47.91999999999999,50.82000000000001,51.26,53.319999999999986
60,Greece,GRC,94.68,94.78,96.85999999999999,97.23,99.86,104.24999999999999,105.26999999999998,106.37000000000002,110.67000000000002,111.53000000000002,117.22,117.98999999999998,118.11,121.43,121.19,123.23000000000002,121.58999999999999,125.15000000000002,121.37,114.15,107.41,105.13,99.90000000000003,92.33000000000001,89.13999999999999,87.37000000000002,86.34,86.06000000000002
61,Grenada,GRD,1.84,1.8599999999999999,1.9200000000000002,1.91,1.9300000000000002,1.96,1.9899999999999998,2.0200000000000005,2.0599999999999996,2.07,2.07,2.450000000000001,2.4800000000000004,2.5000000000000004,2.4899999999999998,2.51,2.0099999999999993,2.04,2.0599999999999996,2.5900000000000003,2.080000000000001,2.2699999999999916,2.4100000000000072,2.319999999999999,2.2599999999999976,2.2900000000000045,2.3100000000000014,2.330000000000003
62,Guatemala,GTM,28.94,29.4,30.68,31.440000000000005,31.76,32.86,32.31,32.78,36.66,35.35,37.84,37.059999999999995,38.88,44.13999999999999,38.75,43.76,41.27,44.26,41.7,44.08,43.26,35.36,35.940000000000005,37.85,37.96999999999999,41.57999999999999,43.59000000000001,42.89000000000001
63,Guinea,GIN,26.78,27.11,27.44,27.81,28.23,28.65,25.7,25.94,27.48,27.28,27.6,29.23999999999999,30.270000000000003,32.33,34.23,34.3,35.62,36.76,33.53,35.36,37.02,39.5,40.14,40.12999999999999,41.60999999999999,42.389999999999986,45.400000000000006,44.77
